title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Blu Celeste,BLANCO,0BeXxjO6mgLDzg4xA6UheO,3385041,it,0.688,0.442,9,-5.611,1,0.0354,0.921,0.0,0.366,0.252,116.463,206379,4
Notti In Bianco,BLANCO,1PWOkqMORYdGa0OEh2GaXM,3323747,it,0.599,0.79,6,-3.242,1,0.0422,0.359,0.0,0.105,0.693,75.004,176400,4
MI FAI IMPAZZIRE,"BLANCO, Sfera Ebbasta",1x3Qb8np6S1UvpSLthwEJN,3177969,it,0.477,0.844,11,-4.87,1,0.0458,0.00273,0.0,0.137,0.203,169.941,220235,4
Paraocchi,BLANCO,40zkeKA3HRN8Nzo6kbNOCp,3063057,it,0.566,0.938,9,-4.387,1,0.0709,0.0136,0.0,0.1,0.753,143.126,156084,4
MEGLIO DEL CINEMA,Fedez,6byHOsfSzBH0R5WQ6QRv54,2729858,it,0.503,0.675,6,-4.445,1,0.146,0.166,0.0,0.121,0.533,153.563,188766,4
Lucciole,BLANCO,7HmgMA9PqikUtSG4eusHy2,2502177,it,0.737,0.435,1,-7.301,0,0.0546,0.852,0.0,0.0987,0.466,123.082,176098,4
TU MI HAI CAPITO (feat. Sfera Ebbasta),Madame,2tIyoiGw4F82z2C8zb7eZB,2286165,it,0.81,0.649,1,-6.11,0,0.0837,0.332,0.0,0.106,0.393,123.009,211499,4
STAY (with Justin Bieber),The Kid LAROI,5PjdY0CKGZdEuoNab3yDmX,2048313,it,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
uNa DiReZioNe giUsTa,"yungest Moonstar, Neffa, tha Supreme",1ktyKCzfI8hooCJP3X2yP5,2037428,it,0.409,0.647,10,-7.698,1,0.212,0.303,0.0,0.332,0.523,196.426,215517,4
NUOVO RANGE (con SFERA EBBASTA),"Rkomi, Junior K",3fxSSvnUS7ALxmhOckb7t6,2035072,it,0.68,0.76,1,-4.866,0,0.0556,0.233,0.0,0.13,0.709,82.54,176773,4
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5Z9KJZvQzH6PFmb8SNkxuk,1928568,it,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,4
Sai Cosa C’è,BLANCO,3NI4VgVswVf503sOiZvv4m,1814001,it,0.502,0.778,3,-4.029,1,0.113,0.217,0.0,0.0756,0.687,157.923,149051,4
Pepas,Farruko,5fwSHlTEWpluwOM0Sxnh5k,1700493,it,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
Finché Non Mi Seppelliscono,BLANCO,16EJNayKtC09M0Fi7Py47s,1625456,it,0.727,0.833,4,-2.594,1,0.0316,0.349,0.0,0.232,0.86,130.024,168000,4
PARTIRE DA TE,Rkomi,43mGIsFZwISk1WWTcAK728,1607725,it,0.656,0.796,11,-4.294,0,0.0437,0.222,0.0,0.36,0.699,95.009,221020,4
L'ultima notte,ARIETE,63mdY4U0KvnbMkUEc7FHN8,1607505,it,0.618,0.687,2,-5.603,1,0.0446,0.268,0.0,0.126,0.398,94.037,157566,4
malibu,sangiovanni,4p0o4pBoJPxYMXKhYbRzzw,1572121,it,0.733,0.736,7,-5.123,0,0.111,0.028,0.0,0.131,0.669,147.897,166216,4
Mezz’Ora Di Sole,BLANCO,0GMrDNkDnTcSX7NDJoCj64,1537035,it,0.677,0.679,8,-4.476,0,0.0504,0.606,0.0,0.17,0.402,124.421,118185,4
Pastello Bianco,Pinguini Tattici Nucleari,0bKDQionn4VKcgNKbs4SWX,1501426,it,0.546,0.652,0,-3.852,1,0.0339,0.451,0.0,0.123,0.378,139.875,236417,4
Scrivile Scemo,Pinguini Tattici Nucleari,71r3UlkV7sWvUYjas5paqi,1484678,it,0.617,0.916,9,-3.538,1,0.0317,0.123,0.0,0.183,0.552,135.091,214926,4
LUNA PIENA (con IRAMA),"Rkomi, Shablo",7xtDBQTR47nZwpBRu6pOdO,1455409,it,0.722,0.841,1,-3.561,1,0.0545,0.405,0.0,0.0876,0.467,99.963,166984,4
Pornografia (Bianco Paradiso),BLANCO,7vWjyIST4LV6AOJsI0lolL,1423395,it,0.481,0.912,7,-2.373,1,0.0764,0.236,0.0,0.556,0.748,165.031,158606,4
Ladro Di Fiori,BLANCO,18E4wq8is4m6wL8HxrEaQ9,1418101,it,0.596,0.763,1,-5.367,0,0.0703,0.37,0.0,0.483,0.606,96.189,188125,4
MILLE (feat. Orietta Berti),"Fedez, Achille Lauro",6qdMhG7pRFi0csRlFGvLE4,1411492,it,0.527,0.764,2,-4.297,1,0.322,0.016,0.0,0.0273,0.829,184.339,175924,4
Extendo (feat. Paky),Lele Blade,2MF9dzFQxu3YTywQ72Bhax,1379246,it,0.833,0.718,8,-6.101,1,0.349,0.133,0.0,0.127,0.652,135.969,163413,4
Bad Habits,Ed Sheeran,6PQ88X9TkUIAUIZJHW2upE,1370980,it,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041,4
Angelina Jolie,Bresh,0tD4EXZRm1JGDYWtKYFLWK,1337909,it,0.681,0.691,4,-6.684,0,0.181,0.073,0.0,0.113,0.644,160.338,169671,4
Figli Di Puttana,BLANCO,6LcCFhsX2QjDD1lILjdBnv,1290779,it,0.575,0.891,11,-2.627,1,0.136,0.366,0.0,0.13,0.723,175.053,133200,4
MAREA,Madame,7BKGYx89QYgfdnpVo3zapq,1284749,it,0.706,0.81,9,-4.464,0,0.0912,0.0713,1.63e-05,0.0709,0.415,131.022,194380,4
MAKUMBA,"Noemi, Carl Brave",2opRyiaqpnQCH0jfCY9Wjd,1274392,it,0.738,0.756,9,-5.477,1,0.207,0.312,0.0,0.0746,0.681,140.103,217622,4
Rompo (feat. Boro Boro),VillaBanks,4oPh7HAoMR1bLBbxwqKmgn,1255567,it,0.7,0.747,8,-5.25,1,0.152,0.295,9.09e-06,0.0919,0.885,174.008,169683,4
Afrodite,BLANCO,5AfqbfOmAdHHxckT0bkAlz,1197986,it,0.541,0.582,2,-4.507,1,0.0315,0.604,0.0,0.371,0.189,80.066,192000,4
ONLYFANS (feat. MamboLosco),Slings,1FAhWNoesPUUfBSl8fSe4L,1171316,it,0.925,0.413,8,-11.121,0,0.395,0.00525,0.0,0.339,0.814,140.081,143143,4
SHAWTY (feat. Sacky),"Rondodasosa, Nko",6yX3lSkO4F3FKx5wDJi4J0,1136555,it,0.691,0.725,7,-6.751,0,0.179,0.0357,2.02e-05,0.105,0.615,143.041,153881,4
raggi gamma,sangiovanni,6UEPZv9ZGcoZRxnkCq5C2p,1098274,it,0.641,0.803,8,-5.306,1,0.0561,0.023,0.0,0.694,0.579,112.052,195134,4
Drippin' in Milano,ANNA,1TrjxEcRPHvaLF3saKCSs4,1092988,it,0.841,0.772,6,-3.825,0,0.199,0.0964,0.0,0.136,0.496,93.032,159989,4
Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,1058481,it,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
Ma stasera,Marco Mengoni,0k6Ru4EOidm7czaSvDjTX1,1042358,it,0.752,0.842,11,-5.958,0,0.0487,0.0661,0.0,0.0617,0.825,114.971,223955,4
Cold Heart - PNAU Remix,"Elton John, Dua Lipa",6zSpb8dQRaw0M1dK8PBwQz,1039987,it,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4
Un bacio all'improvviso,"Rocco Hunt, Ana Mena",4iMigesJsEKt8JczIwUrBO,1036373,it,0.755,0.913,0,-5.451,0,0.0403,0.107,0.0,0.162,0.862,127.957,171194,4
LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO),MACE,1uXJYnCsXy2v50y0fDEEiV,1020327,it,0.658,0.674,5,-6.848,0,0.0484,0.114,1.84e-05,0.147,0.164,129.914,237614,3
I WANNA BE YOUR SLAVE,Måneskin,4pt5fDVTg5GhEvEtlz9dKk,1018157,it,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,173347,4
Loco,"Justin Quiles, Chimbala, Zion & Lennox",6b2HYgqcK9mvktt4GxAu72,968229,it,0.771,0.885,8,-3.66,1,0.0508,0.222,0.0,0.0918,0.826,128.031,231604,4
STUPIDO,"Massimo Pericolo, Crookers",6HVRRlc2sBlkcKEkhlsp86,934089,it,0.404,0.529,11,-8.885,0,0.364,0.708,2.19e-05,0.219,0.36,86.711,187431,4
